U;() the twenty-first letter of the English alphabet, is a cursive form of the letter V, with which it was formerly used interchangeably, both letters being then used both as vowels and consonants. U and V are now, however, differentiated, U being used only as a vowel or semivowel, and V only as a consonant. The true primary vowel sound of U, in Anglo-Saxon, was the sound which it still retains in most of the languages of Europe, that of long oo, as in tool, and short oo, as in wood, answering to the French ou in tour. Etymologically U is most closely related to o, y (vowel), w, and v; as in two, duet, dyad, twice; top, tuft; sop, sup; auspice, aviary. See V, also O and Y.
Uakari;(n.) Same as Ouakari.
Unbeguiling;(p. pr. & vb. n.) of Unbeguile
Unbeguile;(v. t.) To set free from the influence of guile
Unbegun;(a.) Not yet begun; also, existing without a beginning.
Unbehovely;(a.) Not behooving or becoming
Unbeing;(a.) Not existing.
Unbeknown;(a.) Not known
Unbelief;(n.) The withholding of belief
Unbelief;(n.) Disbelief; especially, disbelief of divine revelation, or in a divine providence or scheme of redemption.
Unbelieved;(a.) Not believed
Unbeliever;(n.) One who does not believe
Unbeliever;(n.) A disbeliever; especially, one who does not believe that the Bible is a divine revelation, and holds that Christ was neither a divine nor a supernatural person; an infidel; a freethinker.
Unbelieving;(a.) Not believing
Unbelieving;(a.) Believing the thing alleged no to be true; disbelieving; especially, believing that Bible is not a divine revelation, or that Christ was not a divine or a supernatural person.
Unbelt;(v. t.) To remove or loose the belt of
Unbent;(imp. & p. p.) of Unbend
Unbending;(p. pr. & vb. n.) of Unbend
Unbend;(v. t.) To free from flexure; to make, or allow to become, straight; to loosen; as, to unbend a bow.
Unbend;(v. t.) A remit from a strain or from exertion; to set at ease for a time; to relax; as, to unbend the mind from study or care.
Unbend;(v. t.) To unfasten, as sails, from the spars or stays to which they are attached for use.
Unbend;(v. t.) To cast loose or untie, as a rope.
Unbend;(v. i.) To cease to be bent
Unbend;(v. i.) To relax in exertion, attention, severity, or the like; hence, to indulge in mirth or amusement.
Unbending;(a.) Not bending
Unbending;(a.) Unyielding in will
Unbending;(a.) Unyielding in nature; unchangeable; fixed; -- applied to abstract ideas; as, unbending truths.
Unbending;(a.) Devoted to relaxation or amusement.
Unbenevolence;(n.) Absence or want of benevolence
Unbenign;(a.) Not benign
Unbenumb;(v. t.) To relieve of numbness
Unbereaven;(a.) Unbereft.
Unbereft;(a.) Not bereft
Unbeseem;(v. t.) To be unbecoming or unsuitable to
Unbeseeming;(a.) Unbecoming
Unbespeak;(v. t.) To unsay; hence, to annul or cancel.
Unbethink;(v. t.) To change the mind of (one's self).
Unbeware;(adv.) Unawares.
Unbewitch;(v. t.) To free from a spell
Unbias;(v. t.) To free from bias or prejudice.
Unbiased;(a.) Free from bias or prejudice
Unbid;(a.) Alt. of Unbidden
Unbidden;(a.) Not bidden
Unbidden;(a.) Uninvited; as, unbidden guests.
Unbidden;(a.) Being without a prayer.
Unbound;(imp. & p. p.) of Unbind
Unbinding;(p. pr. & vb. n.) of Unbind
Unbind;(v. t.) To remove a band from; to set free from shackles or fastenings; to unite; to unfasten; to loose; as, unbind your fillets; to unbind a prisoner's arms; to unbind a load.
Unbishop;(v. t.) To deprive, as a city, of a bishop; to deprive, as a clergyman, of episcopal dignity or rights.
Unbitted;(imp. & p. p.) of Unbit
Unbitting;(p. pr. & vb. n.) of Unbit
Unbit;(v. t.) To remove the turns of (a rope or cable) from the bits; as, to unbit a cable.
Unblemished;(a.) Not blemished; pure; spotless; as, an unblemished reputation or life.
Unbless;(v. t.) To deprive of blessings
Unblessed;(a.) Alt. of Unblest
Unblest;(a.) Not blest; excluded from benediction; hence, accursed; wretched.
Unblestful;(a.) Unblessed.
Unblind;(v. t.) To free from blindness
Unblindfold;(v. t.) To free from that which blindfolds.
Unbloody;(a.) Not bloody.
Unblushing;(a.) Not blushing
Unbody;(v. t.) To free from the body
Unbody;(v. i.) To leave the body
Unbolt;(v. t.) To remove a bolt from
Unbolt;(v. i.) To explain or unfold a matter
Unbone;(v. t.) To deprive of bones, as meat; to bone.
Unbone;(v. t.) To twist about, as if boneless.
Unbonnet;(v. t.) To take a bonnet from; to take off one's bonnet; to uncover; as, to unbonnet one's head.
Unbooked;(a.) Not written in a book
Unboot;(v. t.) To take off the boots from.
Unborn;(a.) Not born
Unborrowed;(a.) Not borrowed
Unbosomed;(imp. & p. p.) of Unbosom
Unbosoming;(p. pr. & vb. n.) of Unbosom
Unbosom;(v. t.) To disclose freely; to reveal in confidence, as secrets; to confess; -- often used reflexively; as, to unbosom one's self.
Unbosomer;(n.) One who unbosoms, or discloses.
Unbottomed;(a.) Deprived of a bottom.
Unbottomed;(a.) Having no bottom
Unbound;() imp. & p. p. of Unbind.
Unboundably;(adv.) Infinitely.
Unbounded;(a.) Having no bound or limit; as, unbounded space; an, unbounded ambition.
Unbow;(v. t.) To unbend.
Unbowed;(a.) Not bent or arched
Unboweled;(imp. & p. p.) of Unbowel
Unbowelled;() of Unbowel
Unboweling;(p. pr. & vb. n.) of Unbowel
Unbowelling;() of Unbowel
Unbowel;(v. t.) To deprive of the entrails
Unbox;(v. t.) To remove from a box or boxes.
Unboy;(v. t.) To divest of the traits of a boy.
Unbrace;(v. t.) To free from tension; to relax; to loose; as, to unbrace a drum; to unbrace the nerves.
Unbraid;(v. t.) To separate the strands of; to undo, as a braid; to unravel; to disentangle.
Unbreast;(v. t.) To disclose, or lay open; to unbosom.
Unbreathed;(a.) Not breathed.
Unbreathed;(a.) Not exercised
Unbred;(a.) Not begotten
Unbred;(a.) Not taught or trained
Unbred;(a.) Not well-bred
Unbreeched;(imp. & p. p.) of Unbreech
Unbreching;(p. pr. & vb. n.) of Unbreech
Unbreech;(v. t.) To remove the breeches of
Unbreech;(v. t.) To free the breech of, as a cannon, from its fastenings or coverings.
Unbrewed;(a.) Not made by brewing
Unbridle;(v. t.) To free from the bridle
Unbridled;(a.) Loosed from the bridle, or as from the bridle; hence, unrestrained; licentious; violent; as, unbridled passions.
Unbroken;(a.) Not broken; continuous; unsubdued; as, an unbroken colt.
Unbuckle;(v. t.) To loose the buckles of; to unfasten; as, to unbuckle a shoe.
Unbuild;(v. t.) To demolish
Unbundle;(v. t.) To release, as from a bundle; to disclose.
Unbung;(v. t.) To remove the bung from; as, to unbung a cask.
Unburden;(v. t.) To relieve from a burden.
Unburden;(v. t.) To throw off, as a burden; to unload.
Unburiable;(a.) Not ready or not proper to be buried.
Unburrow;(v. t.) To force from a burrow
Unburthen;(v. t.) To unburden
Unbury;(v. t.) To disinter; to exhume; fig., to disclose.
Unbusied;(a.) Not required to work
Unbutton;(v. t.) To loose the buttons of
Unbuxom;(a.) Disobedient.
Uncage;(v. t.) To loose, or release, from, or as from, a cage.
Uncalled-for;(a.) Not called for
Uncalm;(v. t.) To disturb
Uncamp;(v. t.) To break up the camp of
Uncanny;(a.) Not canny
Uncanonize;(v. t.) To deprive of canonical authority.
Uncanonize;(v. t.) To reduce from the rank of a canonized saint.
Uncap;(v. t.) To remove a cap or cover from.
Uncapable;(a.) Incapable.
Uncape;(v. t.) To remove a cap or cape from.
Uncapper;(n.) An instrument for removing an explode cap from a cartridge shell.
Uncardinal;(v. t.) To degrade from the cardinalship.
Uncared;(a.) Not cared for
Uncarnate;(a.) Not fleshy; specifically, not made flesh; not incarnate.
Uncarnate;(v. t.) To divest of flesh.
Uncart;(v. t.) To take from, or set free from, a cart; to unload.
Uncase;(v. t.) To take out of a case or covering
Uncase;(v. t.) To strip
Uncase;(v. t.) To display, or spread to view, as a flag, or the colors of a military body.
Uncastle;(v. t.) To take a castle from
Uncaused;(a.) Having no antecedent cause
Uncautelous;(a.) Incautious.
Uncautious;(a.) Incautious.
Uncautiously;(adv.) Incautiously.
Unce;(n.) A claw.
Unce;(n.) An ounce
Unceasable;(a.) Not capable of being ended
Uncenter;(v. t.) Alt. of Uncentre
Uncentre;(v. t.) To throw from its center.
Uncentury;(v. t.) To remove from its actual century.
Uncertain;(a.) Not certain
Uncertain;(a.) Irresolute; inconsonant; variable; untrustworthy; as, an uncertain person; an uncertain breeze.
Uncertain;(a.) Questionable
Uncertain;(a.) Not sure
Uncertain;(a.) To make uncertain.
Uncertainly;(adv.) In an uncertain manner.
Uncertainties;(pl. ) of Uncertainty
Uncertainty;(n.) The quality or state of being uncertain.
Uncertainty;(n.) That which is uncertain
Uncessant;(a.) Incessant.
Unchain;(v. t.) To free from chains or slavery
Unchancy;(a.) Happening at a bad time
Unchancy;(a.) Ill-fated
Unchancy;(a.) Unsafe to meddle with
Unchaplain;(v. t.) To remove from a chaplaincy.
Uncharge;(v. t.) To free from a charge or load
Uncharge;(v. t.) To free from an accusation
Unchariot;(v. t.) To throw out of a chariot.
Uncharitable;(a.) Not charitable; contrary to charity; severe in judging; harsh; censorious; as, uncharitable opinions or zeal.
Uncharity;(n.) Uncharitableness.
Uncharm;(v. t.) To release from a charm, fascination, or secret power; to disenchant.
Uncharneled;(imp. & p. p.) of Uncharnel
Uncharneling;(p. pr. & vb. n.) of Uncharnel
Uncharnel;(v. t.) To remove from a charnel house
Unchaste;(a.) Not chaste
Unchastity;(n.) The quality or state of being unchaste
Uncheckable;(a.) Not capable of being checked or stopped.
Unchild;(v. t.) To bereave of children
Unchild;(v. t.) To make unlike a child
Unchristen;(v. t.) To render unchristian.
Unchristened;(a.) Not christened; as, an unchristened child.
Unchristian;(a.) Not Christian
Unchristian;(a.) Contrary to Christianity; not like or becoming a Christian; as, unchristian conduct.
Unchristian;(v. t.) To make unchristian.
Unchristianize;(v. t.) To turn from the Christian faith
Unchristianly;(a.) Unchristian.
Unchristianly;(adv.) In an unchristian manner.
Unchristianness;(n.) The quality or state of being unchristian.
Unchurch;(v. t.) To expel, or cause to separate, from a church; to excommunicate.
Unchurch;(v. t.) To deprive of the character, privileges, and authority of a church.
Unciae;(pl. ) of Uncia
Uncia;(n.) A twelfth part, as of the Roman as; an ounce.
Uncia;(n.) A numerical coefficient in any particular case of the binomial theorem.
Uncial;(a.) Of, pertaining to, or designating, a certain style of letters used in ancient manuscripts, esp. in Greek and Latin manuscripts. The letters are somewhat rounded, and the upstrokes and downstrokes usually have a slight inclination. These letters were used as early as the 1st century b. c., and were seldom used after the 10th century a. d., being superseded by the cursive style.
Uncial;(n.) An uncial letter.
Unciatim;(adv.) Ounce by ounce.
Unciform;(a.) Having the shape of a hook
Unciform;(n.) The unciform bone. See Illust. of Perissodactyla.
Uncinata;(n. pl.) A division of marine chaetopod annelids which are furnished with uncini, as the serpulas and sabellas.
Uncinate;(a.) Hooked; bent at the tip in the form of a hook; as, an uncinate process.
Uncinatum;(n.) The unciform bone.
Uncini;(pl. ) of Uncinus
Uncinus;(n.) One of the peculiar minute chitinous hooks found in large numbers in the tori of tubicolous annelids belonging to the Uncinata.
Uncipher;(v. t.) To decipher; as, to uncipher a letter.
Uncircumcised;(n.) Not circumcised; hence, not of the Israelites.
Uncircumcision;(n.) The absence or want of circumcision.
Uncircumcision;(n.) People not circumcised
Uncircumstandtial;(a.) Not circumstantial
Uncircumstandtial;(a.) Not important
Uncity;(v. t.) To deprive of the rank or rights of a city.
Uncivil;(a.) Not civilized
Uncivil;(a.) Not civil; not complaisant; discourteous; impolite; rude; unpolished; as, uncivil behavior.
Uncivility;(n.) Incivility.
Uncivilization;(n.) The state of being uncivilized
Uncivilized;(a.) Not civilized; not reclaimed from savage life; rude; barbarous; savage; as, the uncivilized inhabitants of Central Africa.
Uncivilized;(a.) Not civil
Uncivilty;(adv.) In an uncivil manner.
Unclasp;(v. t.) To loose the clasp of; to open, as something that is fastened, or as with, a clasp; as, to unclasp a book; to unclasp one's heart.
Uncle;(n.) The brother of one's father or mother; also applied to an aunt's husband; -- the correlative of aunt in sex, and of nephew and niece in relationship.
Uncle;(n.) A pawnbroker.
Unclean;(a.) Not clean
Unclean;(a.) Ceremonially impure
Unclean;(a.) Morally impure.
Uncleansable;(a.) Incapable of being cleansed or cleaned.
Unclench;(v. t.) Same as Unclinch.
Uncleship;(n.) The office or position of an uncle.
Unclew;(v. t.) To unwind, unfold, or untie; hence, to undo; to ruin.
Unclinch;(v. t.) To cause to be no longer clinched; to open; as, to unclinch the fist.
Uncling;(v. i.) To cease from clinging or adhering.
Uncloak;(v. t.) To remove a cloak or cover from
Uncloak;(v. i.) To remove, or take off, one's cloak.
Unclog;(v. t.) To disencumber of a clog, or of difficulties and obstructions; to free from encumbrances; to set at liberty.
Uncloister;(v. t.) To release from a cloister, or from confinement or seclusion; to set free; to liberate.
Unclose;(v. t. & i.) To open; to separate the parts of; as, to unclose a letter; to unclose one's eyes.
Unclose;(v. t. & i.) To disclose
Unclosed;(a.) Not separated by inclosures
Unclosed;(a.) Not finished
Unclosed;(a.) Not closed
Unclothe;(v. t.) To strip of clothes or covering
Unclothed;(a.) Divested or stripped of clothing.
Unclothed;(a.) Not yet clothed
Uncloud;(v. t.) To free from clouds; to unvail; to clear from obscurity, gloom, sorrow, or the like.
Unclue;(v. t.) To unwind
Unclutch;(v. t.) To open, as something closely shut.
Unclutch;(v. t.) To disengage, as a clutch.
Unco;(a.) Unknown; strange, or foreign; unusual, or surprising; distant in manner; reserved.
Unco;(adv.) In a high degree
Unco;(n.) A strange thing or person.
Uncoach;(v. t.) To detach or loose from a coach.
Uncock;(v. t.) To let down the cock of, as a firearm.
Uncock;(v. t.) To deprive of its cocked shape, as a hat, etc.
Uncock;(v. t.) To open or spread from a cock or heap, as hay.
Uncoffle;(v. t.) To release from a coffle.
